tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
55100,TUR,CAN,2013,X,15,X,0,N/A,PT6,EN,Turboprop,L,,,,Turkey,Canada,N,0.6,9,0
58749,TUR,CAN,2015,X,15,X,0,N/A,PT6,EN,Turboprop,L,,,,Turkey,Canada,N,0.6,9,0
37758,TUR,CAN,2005,,16,X,0,N/A,PW100,EN,Turboprop/turboshaft,L,4,X,2013,Turkey,Canada,N,1,16,4
50583,UAE,CAN,2008,,10,X,2015,PRIV,DHC-6 Twin Otter,AC,Transport aircraft,L,10,X,2013-2015,UAE,Canada,N,2.5,25,25
56378,UAE,CAN,2012,X,2,,0,N/A,Global Express,AC,Transport aircraft,L,,,,UAE,Canada,N,30,60,0
59358,UAE,CAN,2015,,2,,0,N/A,Global Express,AC,Transport aircraft,L,,,,UAE,Canada,N,25,50,0
52086,UAE,CAN,2010,,24,X,2013,N/A,PT6,EN,Turboprop,L,24,X,2010-2013,UAE,Canada,N,0.6,14.4,14.4
52701,UAE,CAN,2009,,25,X,2012,N/A,PT6,EN,Turboprop,L,25,X,2011-2012,UAE,Canada,N,0.6,15,15
56436,UAE,CAN,2012,,4,X,0,N/A,PT6,EN,Turboprop,L,,,,UAE,Canada,N,0.6,2.4,0
58259,UAE,CAN,2014,,24,X,0,N/A,PT6,EN,Turboprop,L,7,X,2015,UAE,Canada,N,0.6,14.4,4.2
30453,UK,CAN,1999,,5,,2007,OFFS,Global Express,AC,Transport aircraft,L,5,X,2007,United Kingdom,Canada,N,25,125,125
58029,UK,CAN,2015,X,10,X,0,N/A,PT6,EN,Turboprop,L,,,,United Kingdom,Canada,N,0.6,6,0
59289,UKR,CAN,2014,,8,X,2014,N/A,Spartan,AV,APC/APV,,8,,2014,Ukraine,Canada,N,0.16,1.28,1.28
57990,UNO,CAN,2013,X,36,X,2014,N/A,Shrek,AV,APC,,36,X,2014,United Nations**,Canada,N,0.2,7.2,7.2
50388,URU,CAN,2006,X,44,X,2009,N/A,Piranha,AV,APC,L,44,X,2008-2009,Uruguay,Canada,S,0.12,5.28,5.28
53099,URU,CAN,2009,,103,,2009,N/A,Piranha,AV,APC,L,103,,2009,Uruguay,Canada,S,0.12,12.36,12.36
51084,USA,CAN,2009,,3,,2011,LEAS,Global Express,AC,Transport aircraft,L,3,X,2010-2011,United States,Canada,N,30,90,90
55087,USA,CAN,2012,,1,,2012,N/A,Global Express,AC,Transport aircraft,L,1,,2012,United States,Canada,N,30,30,30
31094,USA,CAN,2000,,2131,,2007,LIC,Piranha-3,AV,APC,L,2131,X,2002-2007,United States,Canada,N,0.29,617.99,617.99
36889,USA,CAN,2005,X,704,X,2009,LIC,Piranha-3,AV,APC,L,704,X,2007-2009,United States,Canada,N,0.29,204.16,204.16
51232,USA,CAN,2008,,615,,2011,LIC,Piranha-3,AV,APC,L,615,X,2009-2011,United States,Canada,N,0.29,178.35,178.35
51233,USA,CAN,2009,,352,,2012,LIC,Piranha-3,AV,APC,L,352,X,2011-2012,United States,Canada,N,0.29,102.08,102.08
51689,USA,CAN,2010,,103,,2012,LIC,Piranha-3,AV,APC,L,103,,2012,United States,Canada,N,0.29,29.87,29.87
52543,USA,CAN,2010,,91,,2012,LIC,Piranha-3,AV,APC,L,91,X,2011-2012,United States,Canada,N,0.29,26.39,26.39
